Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Easy,1.53,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.04,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.85,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.79,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,1.26,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,1.28,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,1.37,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.21,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,1.23,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.13,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,1.32,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,1.0,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.95,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.86,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,1.16,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,1.01,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.81,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,0.81,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,0.69,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.96,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,0.87,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,0.98,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.14,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.02,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.89,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.91,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.88,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,0.76,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,1.14,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,1.12,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.96,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.98,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.85,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.01,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.9,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.94,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.99,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.7,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.06,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.94,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,1.01,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.94,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.96,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,1.01,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.99,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.92,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.93,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.82,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.9,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.92,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.84,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.95,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.24,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.24,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,1.11,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,1.35,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,1.1,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,3.54,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Easy,0.92,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.09,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Hard,1.02,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,0.99,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.27,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,0.71,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.03,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,0.87,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,0.79,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,1.49,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,0.9,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Easy,0.94,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,0.87,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,1.03,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Easy,1.21,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,1.13,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,0.79,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,1.0,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,0.97,Correct,,B,B
