Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,0.87,Correct,,b,B
zero-shot,RC_Result,2,Medium,0.64,Correct,,d,D
zero-shot,RC_Result,4,Medium,1.11,Correct,,a,A
zero-shot,RC_Result,5,Medium,0.67,Correct,,c,C
zero-shot,RC_Result,6,Difficult,0.67,Correct,,b,B
zero-shot,RC_Result,7,Challenging,0.86,Correct,,b,B
zero-shot,RC_Result,10,Medium,0.83,Correct,,a,A
zero-shot,RC_Result,11,Challenging,0.77,Correct,,c,C
zero-shot,RC_Result,13,Challenging,0.56,Correct,,c,C
zero-shot,RC_Result,15,Medium,1.52,Correct,,a,A
zero-shot,RC_Result,16,Medium,0.84,Correct,,b,B
zero-shot,RC_Result,18,Medium,1.7,Correct,,b,B
zero-shot,RC_Result,18,Medium,0.88,Correct,,a,A
zero-shot,RC_Result,20,Medium,1.47,Correct,,c,C
zero-shot,RC_Result,21,Medium,0.85,Correct,,d,D
zero-shot,RC_Result,22,Medium,0.8,Correct,,e,E
zero-shot,RC_Result,24,Medium,0.7,Correct,,d,D
zero-shot,RC_Result,25,Medium,0.89,Correct,,a,A
zero-shot,RC_Result,27,Medium,0.78,Correct,,b,B
zero-shot,RC_Result,28,Medium,0.79,Correct,,a,A
zero-shot,RC_Result,28,Medium,0.8,Correct,,d,D
zero-shot,RC_Result,29,Medium,1.1,Correct,,c,C
zero-shot,RC_Result,34,Medium,0.92,Correct,,c,C
zero-shot,RC_Result,35,Medium,1.07,Correct,,c,C
zero-shot,RC_Result,36,Medium,1.5,Correct,,b,B
zero-shot,RC_Result,37,Medium,2.6,Correct,,d,D
zero-shot,RC_Result,38,Medium,0.85,Correct,,c,C
zero-shot,RC_Result,41,Medium,1.05,Correct,,b,B
zero-shot,RC_Result,43,Medium,0.72,Correct,,c,C
zero-shot,RC_Result,45,Medium,1.08,Correct,,c,C
zero-shot,RC_Result,47,Medium,0.68,Correct,,b,B
zero-shot,RC_Result,48,Medium,0.96,Correct,,c,C
zero-shot,CR,1,Medium,0.69,Correct,,b,B
zero-shot,CR,2,Medium,0.88,Correct,,d,D
zero-shot,CR,4,Medium,0.84,Correct,,a,A
zero-shot,CR,5,Medium,2.11,Correct,,c,C
zero-shot,CR,6,Difficult,1.08,Correct,,b,B
zero-shot,CR,7,Challenging,1.23,Correct,,b,B
zero-shot,CR,10,Medium,0.8,Correct,,a,A
zero-shot,CR,11,Challenging,0.63,Correct,,c,C
zero-shot,CR,13,Challenging,1.17,Correct,,c,C
zero-shot,CR,15,Medium,0.72,Correct,,a,A
zero-shot,CR,16,Medium,0.96,Correct,,b,B
zero-shot,CR,18,Medium,0.91,Correct,,b,B
zero-shot,CR,18,Medium,0.73,Correct,,a,A
zero-shot,CR,20,Medium,0.74,Correct,,c,C
zero-shot,CR,21,Medium,0.6,Correct,,d,D
zero-shot,CR,22,Medium,0.83,Correct,,e,E
zero-shot,CR,24,Medium,0.94,Correct,,d,D
zero-shot,CR,26,Medium,11.12,Correct,,d,D
zero-shot,CR,27,Medium,0.8,Correct,,b,B
zero-shot,CR,28,Medium,0.74,Correct,,a,A
zero-shot,CR,28,Medium,0.77,Correct,,d,D
zero-shot,CR,29,Medium,0.66,Correct,,c,C
zero-shot,CR,31,Medium,11.33,Correct,,c,C
zero-shot,CR,34,Medium,0.69,Correct,,c,C
zero-shot,CR,35,Medium,2.6,Correct,,c,C
zero-shot,CR,36,Medium,0.93,Correct,,b,B
zero-shot,CR,37,Medium,0.94,Correct,,d,D
zero-shot,CR,38,Medium,0.9,Correct,,c,C
zero-shot,CR,41,Medium,2.6,Correct,,b,B
zero-shot,CR,43,Medium,0.82,Correct,,c,C
zero-shot,CR,45,Medium,0.75,Correct,,c,C
zero-shot,CR,47,Medium,0.87,Correct,,b,B
zero-shot,CR,48,Medium,0.68,Correct,,c,C
zero-shot,RC_Result,3,Medium,0.98,Incorrect,,c,A
zero-shot,RC_Result,8,Challenging,0.8,Incorrect,,c,B
zero-shot,RC_Result,9,Medium,0.84,Incorrect,,a,D
zero-shot,RC_Result,12,Challenging,1.08,Incorrect,,b,C
zero-shot,RC_Result,14,Challenging,0.93,Incorrect,,c,D
zero-shot,RC_Result,17,Medium,0.97,Incorrect,,c,A
zero-shot,RC_Result,23,Medium,0.94,Incorrect,,d,C
zero-shot,RC_Result,26,Medium,0.73,Incorrect,,d,B
zero-shot,RC_Result,30,Medium,0.69,Incorrect,,b,A
zero-shot,RC_Result,31,Medium,4.32,Incorrect,,c,A
zero-shot,RC_Result,31,Medium,0.98,Incorrect,,b,D
zero-shot,RC_Result,32,Medium,0.7,Incorrect,,e,C
zero-shot,RC_Result,33,Medium,1.23,Incorrect,,e,D
zero-shot,RC_Result,39,Medium,0.97,Incorrect,,b,A
zero-shot,RC_Result,40,Medium,0.85,Incorrect,,c,B
zero-shot,RC_Result,42,Medium,0.74,Incorrect,,a,E
zero-shot,RC_Result,44,Medium,0.68,Incorrect,,b,A
zero-shot,RC_Result,46,Medium,0.75,Incorrect,,b,A
zero-shot,CR,3,Medium,0.77,Incorrect,,c,A
zero-shot,CR,8,Challenging,6.64,Incorrect,,c,B
zero-shot,CR,9,Medium,0.82,Incorrect,,a,D
zero-shot,CR,12,Challenging,0.7,Incorrect,,b,C
zero-shot,CR,14,Challenging,10.55,Incorrect,,c,A
zero-shot,CR,17,Medium,0.83,Incorrect,,c,A
zero-shot,CR,23,Medium,0.91,Incorrect,,d,C
zero-shot,CR,25,Medium,0.75,Incorrect,,a,B
zero-shot,CR,30,Medium,0.78,Incorrect,,b,A
zero-shot,CR,31,Medium,0.72,Incorrect,,b,D
zero-shot,CR,32,Medium,0.97,Incorrect,,e,C
zero-shot,CR,33,Medium,0.94,Incorrect,,e,D
zero-shot,CR,39,Medium,0.69,Incorrect,,b,A
zero-shot,CR,40,Medium,0.91,Incorrect,,c,B
zero-shot,CR,42,Medium,0.75,Incorrect,,a,E
zero-shot,CR,44,Medium,0.96,Incorrect,,b,A
zero-shot,CR,46,Medium,0.81,Incorrect,,b,A
five-shot,RC_Result,1,Medium,1.12,Correct,,b,B
five-shot,RC_Result,2,Medium,1.33,Correct,,d,D
five-shot,RC_Result,3,Medium,0.85,Correct,,c,C
five-shot,RC_Result,4,Medium,0.85,Correct,,a,A
