Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,0.78,Correct,,D,D
zero-shot,toefl_listening,N/A,N/A,0.57,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.82,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.78,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.53,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.89,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.8,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.91,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.0,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.63,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.85,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.76,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.85,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.63,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.84,Incorrect,,B,D
zero-shot,toefl_listening,N/A,N/A,0.59,Incorrect,,A,D
zero-shot,toefl_listening,N/A,N/A,0.95,Incorrect,,C,D
zero-shot,toefl_listening,N/A,N/A,0.79,Incorrect,,B D,D
zero-shot,toefl_listening,N/A,N/A,1.02,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.63,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.53,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.82,Correct,,D,D
five-shot,toefl_listening,N/A,N/A,0.67,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.2,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.67,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.64,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.87,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.64,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.94,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.62,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.57,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.01,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.81,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.0,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.66,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.72,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.76,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.72,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.64,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.73,Incorrect,,B,D
five-shot,toefl_listening,N/A,N/A,0.72,Incorrect,,A,D
five-shot,toefl_listening,N/A,N/A,0.67,Incorrect,,C,D
five-shot,toefl_listening,N/A,N/A,0.86,Incorrect,,B D,D
five-shot,toefl_listening,N/A,N/A,0.77,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.66,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.81,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,14.61,Correct,,D,D
chain-of-thought,toefl_listening,N/A,N/A,11.22,Correct,,A,A
chain-of-thought,toefl_listening,N/A,N/A,10.87,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.47,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.77,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.67,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,10.63,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.36,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.13,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,11.24,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.2,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.29,Incorrect,,B,D
chain-of-thought,toefl_listening,N/A,N/A,8.54,Incorrect,,C,D
chain-of-thought,toefl_listening,N/A,N/A,9.27,Incorrect,,B D,"A, C"
chain-of-thought,toefl_listening,N/A,N/A,6.86,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,5.9,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,9.91,Incorrect,,B,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,7.51,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,5.68,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,6.61,Incorrect,,B,"D, D"
chain-of-thought,toefl_listening,N/A,N/A,6.63,Incorrect,,B,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,6.97,Incorrect,,B,"D, B"
chain-of-thought,toefl_listening,N/A,N/A,8.86,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,12.87,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,8.85,Incorrect,,B,"D, A"
