Strategy,Model,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,1.53,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.04,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.85,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.79,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,1.26,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.28,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,1.37,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.21,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.23,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.13,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.32,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.0,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.95,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.86,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.16,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.01,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.81,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,0.81,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.69,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.96,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,0.87,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,0.98,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.14,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.02,Correct,N/A,D,D
