Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Easy,14.04,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,5.56,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,3.79,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,4.88,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,3.97,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,12.0,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,1.65,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,16.35,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,12.21,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,11.84,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,18.01,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,11.99,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,3.25,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,3.29,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,14.42,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.59,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.67,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,16.29,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.33,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,5.0,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,0.43,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.84,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,9.17,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,1.38,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,16.62,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,18.31,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,17.72,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,3.35,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,14.65,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,12.07,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.61,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,15.06,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,18.0,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,11.99,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,1.52,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,10.51,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,17.99,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,3.4,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,14.57,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,18.01,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,18.02,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,1.93,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,10.06,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,18.02,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,12.05,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.48,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.6,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.66,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,9.19,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,1.52,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,2.28,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,2.94,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.53,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,10.74,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.41,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,10.65,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,32.7,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,1.58,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,4.06,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,0.74,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,0.52,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,3.9,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,0.5,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,4.29,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,39.34,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,18.81,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,8.33,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Easy,0.74,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,0.99,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,11.99,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,35.95,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Easy,2.39,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,41.43,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,3.79,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,3.8,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,34.44,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,2.23,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,2.17,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,0.84,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,35.14,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,1.41,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,40.62,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,0.75,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,39.39,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,29.86,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,1.05,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,40.94,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,0.74,Correct,,B,B
zero-shot,algebra,N/A,Easy,8.48,Correct,,40,40
zero-shot,algebra,N/A,Easy,13.0,Correct,,C,C
zero-shot,algebra,N/A,Hard,17.43,Correct,,D,D
zero-shot,algebra,N/A,Medium,18.09,Correct,,B,B
zero-shot,algebra,N/A,Easy,14.96,Correct,,35,35
zero-shot,algebra,N/A,Medium,0.73,Correct,,A,A
zero-shot,algebra,N/A,Easy,22.6,Correct,,A,A
zero-shot,algebra,N/A,Easy,23.92,Correct,,A,A
zero-shot,algebra,N/A,Easy,17.87,Correct,,A,A
zero-shot,algebra,N/A,Easy,17.97,Correct,,A,A
zero-shot,algebra,N/A,Hard,18.49,Correct,,A,A
zero-shot,algebra,N/A,Easy,6.38,Correct,,A,A
zero-shot,algebra,N/A,Medium,0.5,Correct,,9,9
zero-shot,algebra,N/A,Medium,15.99,Correct,,C,C
zero-shot,algebra,N/A,Medium,1.7,Correct,,30,30
zero-shot,algebra,N/A,Medium,14.79,Correct,,241,241
zero-shot,algebra,N/A,Medium,16.7,Correct,,2,2
zero-shot,algebra,N/A,Medium,6.29,Correct,,A,A
zero-shot,algebra,N/A,Medium,21.48,Correct,,A,A
