Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_GPT_4o-mini,1,challenging,2.37,Correct,,a,A
zero-shot,RC_GPT_4o-mini,2,moderate,1.67,Correct,,b,B
zero-shot,RC_GPT_4o-mini,4,moderate,0.45,Correct,,d,D
zero-shot,RC_GPT_4o-mini,5,moderate,0.66,Correct,,a,A
zero-shot,RC_GPT_4o-mini,7,moderate,0.56,Correct,,b,B
zero-shot,RC_GPT_4o-mini,9,moderate,0.55,Correct,,d,D
zero-shot,RC_GPT_4o-mini,12,easy,6.0,Correct,,b,B
zero-shot,RC_GPT_4o-mini,16,challenging,2.44,Correct,,a,A
zero-shot,RC_GPT_4o-mini,19,moderate,2.14,Correct,,b,B
zero-shot,RC_GPT_4o-mini,26,hard,12.0,Correct,,a,A
zero-shot,RC_GPT_4o-mini,27,hard,11.96,Correct,,b,B
zero-shot,RC_GPT_4o-mini,28,hard,10.92,Correct,,a,A
zero-shot,RC_GPT_4o-mini,33,hard,11.98,Correct,,c,C
zero-shot,RC_GPT_4o-mini,34,hard,1.62,Correct,,a,A
zero-shot,RC_GPT_4o-mini,40,hard,1.8,Correct,,b,B
zero-shot,RC_GPT_4o-mini,42,hard,1.3,Correct,,a,A
zero-shot,RC_GPT_4o-mini,43,hard,1.3,Correct,,b,B
zero-shot,RC_GPT_4o-mini,44,medium,9.63,Correct,,e,E
zero-shot,RC_GPT_4o-mini,45,medium,0.64,Correct,,a,A
zero-shot,RC_GPT_4o-mini,47,medium,12.8,Correct,,d,D
zero-shot,RC_GPT_4o-mini,48,medium,0.48,Correct,,c,C
zero-shot,RC_GPT_4o-mini,49,medium,2.76,Correct,,b,B
zero-shot,RC_GPT_4o-mini,50,medium,1.31,Correct,,e,E
zero-shot,CR_gpt-4o-mini,1,Medium,0.65,Correct,,b,B
zero-shot,CR_gpt-4o-mini,2,Medium,0.41,Correct,,d,D
zero-shot,CR_gpt-4o-mini,4,Medium,11.82,Correct,,a,A
zero-shot,CR_gpt-4o-mini,5,Medium,11.99,Correct,,c,C
zero-shot,CR_gpt-4o-mini,6,Difficult,14.23,Correct,,b,B
zero-shot,CR_gpt-4o-mini,7,Challenging,1.24,Correct,,b,B
zero-shot,CR_gpt-4o-mini,10,Medium,1.47,Correct,,a,A
zero-shot,CR_gpt-4o-mini,11,Challenging,0.37,Correct,,c,C
zero-shot,CR_gpt-4o-mini,13,Challenging,12.01,Correct,,c,C
zero-shot,CR_gpt-4o-mini,15,Medium,2.32,Correct,,a,A
zero-shot,CR_gpt-4o-mini,16,Medium,6.61,Correct,,b,B
zero-shot,CR_gpt-4o-mini,18,Medium,11.99,Correct,,b,B
zero-shot,CR_gpt-4o-mini,18,Medium,2.55,Correct,,a,A
zero-shot,CR_gpt-4o-mini,20,Medium,9.94,Correct,,c,C
zero-shot,CR_gpt-4o-mini,21,Medium,0.44,Correct,,d,D
zero-shot,CR_gpt-4o-mini,22,Medium,11.05,Correct,,e,E
zero-shot,CR_gpt-4o-mini,24,Medium,11.62,Correct,,d,D
zero-shot,CR_gpt-4o-mini,25,Medium,6.2,Correct,,a,A
zero-shot,CR_gpt-4o-mini,27,Medium,11.94,Correct,,b,B
zero-shot,CR_gpt-4o-mini,28,Medium,12.01,Correct,,a,A
zero-shot,CR_gpt-4o-mini,28,Medium,12.2,Correct,,d,D
zero-shot,CR_gpt-4o-mini,29,Medium,1.31,Correct,,c,C
zero-shot,CR_gpt-4o-mini,34,Medium,10.01,Correct,,c,C
zero-shot,CR_gpt-4o-mini,35,Medium,5.08,Correct,,c,C
zero-shot,CR_gpt-4o-mini,36,Medium,0.4,Correct,,b,B
zero-shot,CR_gpt-4o-mini,37,Medium,14.83,Correct,,d,D
zero-shot,CR_gpt-4o-mini,38,Medium,12.05,Correct,,c,C
zero-shot,CR_gpt-4o-mini,41,Medium,11.35,Correct,,b,B
zero-shot,CR_gpt-4o-mini,43,Medium,7.48,Correct,,c,C
zero-shot,CR_gpt-4o-mini,45,Medium,0.66,Correct,,c,C
zero-shot,CR_gpt-4o-mini,47,Medium,8.57,Correct,,b,B
zero-shot,CR_gpt-4o-mini,48,Medium,12.09,Correct,,c,C
zero-shot,RC_GPT_4o-mini,3,moderate,3.43,Incorrect,,d,A
zero-shot,RC_GPT_4o-mini,6,easy,2.48,Incorrect,,b,C
zero-shot,RC_GPT_4o-mini,8,moderate,2.13,Incorrect,,d,C
zero-shot,RC_GPT_4o-mini,10,easy,5.43,Incorrect,,e,C
zero-shot,RC_GPT_4o-mini,11,easy,6.01,Incorrect,,a,C
zero-shot,RC_GPT_4o-mini,13,challenging,1.35,Incorrect,,e,D
zero-shot,RC_GPT_4o-mini,14,moderate,4.66,Incorrect,,e,B
zero-shot,RC_GPT_4o-mini,15,moderate,6.05,Incorrect,,d,B
zero-shot,RC_GPT_4o-mini,17,challenging,3.59,Incorrect,,b,C
zero-shot,RC_GPT_4o-mini,18,moderate,10.21,Incorrect,,d,A
zero-shot,RC_GPT_4o-mini,20,hard,0.45,Incorrect,,b,D
zero-shot,RC_GPT_4o-mini,21,hard,2.48,Incorrect,,a,C
zero-shot,RC_GPT_4o-mini,22,hard,2.93,Incorrect,,c,D
zero-shot,RC_GPT_4o-mini,23,hard,6.38,Incorrect,,b,C
zero-shot,RC_GPT_4o-mini,24,hard,1.4,Incorrect,,c,D
zero-shot,RC_GPT_4o-mini,25,hard,10.66,Incorrect,,e,A
zero-shot,RC_GPT_4o-mini,29,hard,7.32,Incorrect,,d,B
zero-shot,RC_GPT_4o-mini,30,hard,12.0,Incorrect,,d,C
zero-shot,RC_GPT_4o-mini,31,hard,0.48,Incorrect,,e,D
zero-shot,RC_GPT_4o-mini,32,hard,11.55,Incorrect,,a,B
