Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Easy,1.8,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,4.15,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,11.95,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,6.22,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,5.95,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,6.02,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,5.99,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,6.01,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,6.0,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,12.03,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,12.02,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,12.38,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,12.11,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,17.91,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,12.13,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,11.97,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,12.02,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,2.54,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,5.96,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,17.96,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,12.01,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,6.41,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,18.09,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,17.94,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,18.0,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,12.01,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,12.0,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,18.09,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,17.91,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,11.98,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,18.0,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,16.33,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,17.87,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,12.05,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,11.98,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,18.06,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,13.02,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,12.05,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,11.95,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,18.02,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,18.15,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,11.88,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,17.98,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,28.2,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,19.88,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Hard,22.08,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,29.93,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Easy,23.99,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,29.99,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,30.0,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,42.0,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,18.36,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,23.93,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,36.11,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Easy,42.09,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,29.95,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,41.99,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,42.49,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,41.88,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,35.61,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,35.94,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,42.02,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,30.0,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,35.6,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,24.03,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,41.94,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,42.04,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,30.05,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,29.94,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,24.02,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,29.99,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,24.47,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,41.57,Correct,,A,A
zero-shot,algebra,N/A,Easy,10.75,Correct,,A,A
zero-shot,algebra,N/A,Hard,12.04,Correct,,D,D
zero-shot,algebra,N/A,Easy,6.36,Correct,,40,40
zero-shot,algebra,N/A,Easy,12.43,Correct,,C,C
zero-shot,algebra,N/A,Easy,12.18,Correct,,21,21
zero-shot,algebra,N/A,Hard,10.89,Correct,,D,D
zero-shot,algebra,N/A,Medium,11.79,Correct,,B,B
zero-shot,algebra,N/A,Hard,24.13,Correct,,C,C
zero-shot,algebra,N/A,Hard,20.05,Correct,,16/17,16/17
zero-shot,algebra,N/A,Easy,16.54,Correct,,D,D
zero-shot,algebra,N/A,Easy,12.07,Correct,,A,A
zero-shot,algebra,N/A,Easy,16.4,Correct,,A,A
zero-shot,algebra,N/A,Easy,18.04,Correct,,A,A
zero-shot,algebra,N/A,Easy,11.88,Correct,,A,A
zero-shot,algebra,N/A,Medium,18.07,Correct,,2.6,2.6
zero-shot,algebra,N/A,Medium,17.07,Correct,,9,9
zero-shot,algebra,N/A,Medium,14.58,Correct,,C,C
zero-shot,algebra,N/A,Medium,18.01,Correct,,241,241
zero-shot,algebra,N/A,Medium,11.2,Correct,,2,2
zero-shot,algebra,N/A,Medium,17.9,Correct,,A,A
zero-shot,algebra,N/A,Medium,13.72,Correct,,A,A
zero-shot,algebra,N/A,Medium,11.36,Correct,,D,D
zero-shot,algebra,N/A,Medium,17.03,Correct,,3/17,3/17
zero-shot,algebra,N/A,Medium,18.06,Correct,,33,33
zero-shot,algebra,N/A,Medium,18.22,Correct,,5,5
zero-shot,algebra,N/A,Medium,16.17,Correct,,A,A
zero-shot,algebra,N/A,Medium,17.9,Correct,,A,A
zero-shot,algebra,N/A,Medium,16.56,Correct,,A,A
zero-shot,algebra,N/A,Medium,17.98,Correct,,B,B
zero-shot,algebra,N/A,Medium,2.94,Correct,,A,A
zero-shot,algebra,N/A,Medium,18.61,Correct,,B,B
zero-shot,algebra,N/A,Medium,12.82,Correct,,3/2,1.5
zero-shot,algebra,N/A,Medium,13.16,Correct,,3/2,1.5
zero-shot,algebra,N/A,Medium,12.18,Correct,,B,B
zero-shot,algebra,N/A,Medium,4.19,Correct,,C,C
zero-shot,algebra,N/A,Medium,11.59,Correct,,C,C
zero-shot,algebra,N/A,Medium,18.33,Correct,,A,A
zero-shot,algebra,N/A,Medium,2.64,Correct,,C,C
zero-shot,algebra,N/A,Medium,5.82,Correct,,B,B
zero-shot,algebra,N/A,Medium,4.38,Correct,,B,B
zero-shot,algebra,N/A,Medium,17.52,Correct,,C,C
zero-shot,algebra,N/A,Medium,17.39,Correct,,C,C
zero-shot,conventions,23,Easy,5.92,Correct,,b,B
zero-shot,conventions,29,Medium,5.93,Correct,,d,D
zero-shot,conventions,9,Easy,6.01,Correct,,d,D
zero-shot,conventions,19,Hard,6.16,Correct,,d,D
zero-shot,conventions,1,Easy,5.91,Correct,,a,A
zero-shot,conventions,15,Easy,5.95,Correct,,d,D
zero-shot,conventions,10,Medium,5.86,Correct,,d,D
zero-shot,conventions,27,Easy,5.95,Correct,,d,D
zero-shot,conventions,5,Hard,5.86,Correct,,d,D
zero-shot,conventions,12,Medium,6.16,Correct,,d,D
zero-shot,conventions,11,Easy,6.01,Correct,,d,D
zero-shot,conventions,31,Easy,7.76,Correct,,a,A
zero-shot,conventions,32,Hard,4.18,Correct,,d,D
zero-shot,conventions,34,Easy,5.82,Correct,,a,A
zero-shot,conventions,35,Easy,6.0,Correct,,a,A
zero-shot,conventions,36,Medium,6.01,Correct,,d,D
zero-shot,conventions,38,Hard,6.2,Correct,,d,D
zero-shot,conventions,39,Easy,5.85,Correct,,b,B
zero-shot,conventions,41,Easy,5.99,Correct,,b,B
zero-shot,conventions,43,Easy,6.2,Correct,,b,B
zero-shot,conventions,44,Easy,5.98,Correct,,b,B
zero-shot,conventions,45,Easy,5.98,Correct,,a,A
zero-shot,conventions,46,Easy,11.85,Correct,,b,B
zero-shot,conventions,47,Hard,0.78,Correct,,d,D
zero-shot,conventions,48,Easy,5.98,Correct,,c,C
zero-shot,conventions,49,Hard,6.05,Correct,,d,D
zero-shot,advanced_math,14,Medium,5.5,Correct,"The expression 90y⁵ − 54y⁴ is equivalent to ry⁴(15y − 9), where r is a constant. What is the value of r?",D,D
zero-shot,advanced_math,3,Easy,5.77,Correct,"Which expression is equivalent to (m⁴q⁴z⁻¹)(mq⁵z³), where m, q, and z are positive?",B,B
zero-shot,advanced_math,6,Easy,13.09,Correct,"Which expression is equivalent to (m⁴q⁴z⁻¹)(mq⁵z³), where m, q, and z are positive?",B,B
zero-shot,advanced_math,4,Easy,4.93,Correct,"Which expression is equivalent to (m⁴q⁴z⁻¹)(mq⁵z³), where m, q, and z are positive?",B,B
zero-shot,advanced_math,12,Easy,6.82,Correct,"Which expression is equivalent to (m⁴q⁴z⁻¹)(mq⁵z³), where m, q, and z are positive?",B,B
zero-shot,advanced_math,15,Hard,7.2,Correct,"The equation \( \frac{2}{x-2} + \frac{3}{x+5} = \frac{rx + t}{(x-2)(x+5)} \) is true for all \( x > 2 \), where \( r \) and \( t \) are positive constants. What is the value of \( rt \)?",C,C
zero-shot,advanced_math,2,Easy,4.63,Correct,"Which expression is equivalent to (m⁴q⁴z⁻¹)(mq⁵z³), where m, q, and z are positive?",B,B
zero-shot,advanced_math,20,Easy,11.08,Correct,Which expression is equivalent to \( 20w - (4w + 3w) \)?,B,B
zero-shot,advanced_math,31,Hard,14.36,Correct,"If x is a solution to the given equation, which of the following is a possible value of x + 5?

1 / (x² + 10x + 25) = 4",A,A
zero-shot,advanced_math,39,Hard,19.58,Correct,"What is the smallest solution to the given equation?

√((x − 2)²) = √(3x + 34)",A,A
zero-shot,advanced_math,35,Hard,6.57,Correct,"In the xy-plane, a line with equation 2y = c for some constant c intersects a parabola at exactly one point. If the parabola has equation y = −2x² + 9x, what is the value of c?",B,B
zero-shot,advanced_math,30,Easy,6.8,Correct,"The given equation relates the variables r, s, and t. Which equation correctly expresses s in terms of r and t?

6r = 7s + t",D,D
zero-shot,advanced_math,28,Hard,15.94,Correct,"In the xy-plane, a line with equation 2y = 4.5 intersects a parabola at exactly one point. If the parabola has equation y = -4x² + bx, where b is a positive constant, what is the value of b?",C,C
zero-shot,advanced_math,26,Easy,16.85,Correct,"The graphs of the given equations intersect at the point (x, y) in the xy-plane. What is the value of y?

x = 49
y = √x + 9",A,A
zero-shot,advanced_math,34,Hard,12.68,Correct,"Which of the following is a solution to the equation below?

2x² − 2 = 2x + 3",D,D
zero-shot,advanced_math,25,Easy,11.05,Correct,"The graphs of the given equations intersect at the point (x, y) in the xy-plane. What is the value of y?

x = 49
y = √x + 9",A,A
zero-shot,advanced_math,36,Easy,17.59,Correct,"The graph of a system of a linear equation and a nonlinear equation is shown. What is the solution (x, y) to this system?",C,C
zero-shot,advanced_math,22,Easy,11.91,Correct,Which of the following inequalities is equivalent to the inequality 6x - 9y > 12?,B,B
zero-shot,advanced_math,42,Medium,9.97,Correct,"A rectangle has a length that is 15 times its width. The function y = (15w)(w) represents this situation, where y is the area, in square feet, of the rectangle and y > 0. Which of the following is the best interpretation of 15w in this context?",A,A
zero-shot,advanced_math,44,Hard,16.14,Correct,The function f is defined by f(x) = (-8)(2)^x + 22. What is the y-intercept of the graph of y = f(x) in the xy-plane?,A,A
zero-shot,advanced_math,45,Hard,3.36,Correct,The function f is defined by f(x) = (-8)(2)^x + 22. What is the y-intercept of the graph of y = f(x) in the xy-plane?,A,A
zero-shot,advanced_math,46,Easy,7.04,Correct,"The graph shows the height above ground, in meters, of a ball x seconds after the ball was launched upward from a platform. Which statement is the best interpretation of the marked point (1.0, 4.8) in this context?",A,A
zero-shot,advanced_math,47,Hard,15.92,Correct,"The given function ( f(x) = 9,000(0.66)^x ) models the number of advertisements a company sent to its clients each year, where ( x ) represents the number of years since 1997, and ( 0 leq x leq 5 ). If ( y = f(x) ) is graphed in the xy-plane, which of the following is the best interpretation of the y-intercept of the graph in this context?",D,D
zero-shot,geometry,30,Hard,2.08,Correct,"In triangle ABC, the measure of angle B is 90° and BD is an altitude of the triangle. The length of AB is 15 and the length of AC is 23 greater than the length of AB. What is the value of BC/BD?",D,D
zero-shot,geometry,9,Medium,5.07,Correct,"A cube has an edge length of 41 inches. What is the volume, in cubic inches, of the cube?",D,D
zero-shot,geometry,3,Easy,6.56,Correct,"The side length of a square is 55 centimeters (cm). What is the area, in cm², of the square?",C,C
zero-shot,geometry,11,Medium,6.78,Correct,"A manufacturing company produces two sizes of cylindrical containers that each have a height of 50 centimeters. The radius of container A is 16 centimeters, and the radius of container B is 25% longer than the radius of container A. What is the volume, in cubic centimeters, of container B?",B,B
zero-shot,geometry,7,Medium,4.97,Correct,"What is the volume, in cubic centimeters, of a right rectangular prism that has a length of 4 centimeters, a width of 9 centimeters, and a height of 10 centimeters?",360,360
zero-shot,geometry,39,Medium,6.33,Correct,"Triangle ABC is similar to triangle XYZ, such that A, B, and C correspond to X, Y, and Z respectively. The length of each side of triangle XYZ is 2 times the length of its corresponding side in triangle ABC. The measure of side AB is 16. What is the measure of side XY?",D,D
zero-shot,geometry,1,Medium,12.37,Correct,"A right circular cylinder has a volume of 45π. If the height of the cylinder is 5, what is the radius of the cylinder?",A,A
zero-shot,geometry,31,Easy,11.27,Correct,"In triangle XYZ, the measure of angle X is 24° and the measure of angle Y is 98°. What is the measure of angle Z?",A,A
zero-shot,geometry,10,Medium,13.89,Correct,"A cylinder has a diameter of 8 inches and a height of 12 inches. What is the volume, in cubic inches, of the cylinder?",C,C
zero-shot,geometry,5,Medium,12.05,Correct,"Square X has a side length of 12 centimeters. The perimeter of square Y is 2 times the perimeter of square X. What is the length, in centimeters, of one side of square Y?",D,D
zero-shot,geometry,42,Medium,12.19,Correct,"In right triangle RST, the sum of the measures of angle R and angle S is 90 degrees. The value of sin(R) is √15/4. What is the value of cos(S)?",B,B
zero-shot,geometry,2,Hard,5.96,Correct,Square A has side lengths that are 166 times the side lengths of square B. The area of square A is k times the area of square B. What is the value of k?,27556,27556
zero-shot,geometry,37,Hard,18.01,Correct,"Triangle XYZ is similar to triangle RST such that X, Y, and Z correspond to R, S, and T, respectively. The measure of ∠Z is 20° and 2XY = RS. What is the measure of ∠T?",C,C
zero-shot,geometry,18,Hard,0.88,Correct,"A rectangular poster has an area of 360 square inches. A copy of the poster is made in which the length and width of the original poster are each increased by 20%. What is the area of the copy, in square inches?",518.4,518.4
zero-shot,geometry,14,Hard,6.24,Correct,A right circular cone has a height of 22 centimeters (cm) and a base with a diameter of 6 cm. The volume of this cone is nπ cm³. What is the value of n?,66,66
zero-shot,reading_comp,N/A,Medium,0,Incorrect,,A,
zero-shot,reading_comp,N/A,Hard,0,Incorrect,,D,
zero-shot,reading_comp,N/A,Hard,0,Incorrect,,B,
