Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Medium,1.87,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,23.29,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,5.99,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,3.59,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,6.04,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,21.5,Correct,,C,C
zero-shot,reading_comp,N/A,Hard,6.02,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,20.57,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,1.01,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,6.06,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,22.86,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,6.01,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,6.05,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,5.0,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,5.75,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,6.0,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,24.38,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,10.28,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,11.77,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,30.08,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,12.25,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,3.54,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,2.08,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,12.15,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,36.23,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,3.53,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,32.59,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,5.81,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,4.99,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,39.6,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,36.35,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,3.74,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,1.67,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,12.62,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,18.17,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,17.76,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,23.04,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,16.3,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,14.67,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Hard,3.08,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,19.67,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,42.03,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Medium,18.02,Correct,,B,B
zero-shot,expression_of_ideas,N/A,Medium,4.87,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,19.06,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Medium,18.09,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,2.84,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,45.15,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Easy,30.0,Correct,,D,D
zero-shot,expression_of_ideas,N/A,Hard,2.61,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,45.43,Correct,,C,C
zero-shot,expression_of_ideas,N/A,Easy,29.9,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,36.08,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Medium,3.39,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,33.71,Correct,,A,A
zero-shot,expression_of_ideas,N/A,Hard,2.23,Correct,,D,D
