Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,3.18,Correct,,b,B
zero-shot,RC_Result,2,Medium,1.24,Correct,,d,D
zero-shot,RC_Result,4,Medium,0.71,Correct,,a,A
zero-shot,RC_Result,5,Medium,0.48,Correct,,c,C
zero-shot,RC_Result,6,Difficult,0.7,Correct,,b,B
zero-shot,RC_Result,7,Challenging,0.55,Correct,,b,B
zero-shot,RC_Result,10,Medium,0.55,Correct,,a,A
zero-shot,RC_Result,11,Challenging,0.59,Correct,,c,C
zero-shot,RC_Result,13,Challenging,0.73,Correct,,c,C
zero-shot,RC_Result,15,Medium,0.78,Correct,,a,A
zero-shot,RC_Result,16,Medium,0.82,Correct,,b,B
zero-shot,RC_Result,17,Medium,0.83,Correct,,c,C
zero-shot,RC_Result,18,Medium,0.53,Correct,,b,B
zero-shot,RC_Result,18,Medium,0.59,Correct,,a,A
zero-shot,RC_Result,20,Medium,0.89,Correct,,c,C
zero-shot,RC_Result,21,Medium,0.59,Correct,,d,D
zero-shot,RC_Result,22,Medium,0.76,Correct,,e,E
zero-shot,RC_Result,24,Medium,0.99,Correct,,d,D
zero-shot,RC_Result,25,Medium,0.58,Correct,,a,A
zero-shot,RC_Result,27,Medium,1.24,Correct,,b,B
zero-shot,RC_Result,28,Medium,0.64,Correct,,a,A
zero-shot,RC_Result,28,Medium,0.62,Correct,,d,D
zero-shot,RC_Result,29,Medium,0.58,Correct,,c,C
zero-shot,RC_Result,34,Medium,0.69,Correct,,c,C
zero-shot,RC_Result,35,Medium,1.03,Correct,,c,C
zero-shot,RC_Result,36,Medium,1.02,Correct,,b,B
zero-shot,RC_Result,37,Medium,1.09,Correct,,d,D
zero-shot,RC_Result,38,Medium,0.85,Correct,,c,C
zero-shot,RC_Result,39,Medium,0.48,Correct,,b,B
zero-shot,RC_Result,41,Medium,0.76,Correct,,b,B
zero-shot,RC_Result,43,Medium,0.61,Correct,,c,C
zero-shot,RC_Result,45,Medium,0.7,Correct,,c,C
zero-shot,RC_Result,47,Medium,0.65,Correct,,b,B
zero-shot,RC_Result,48,Medium,0.44,Correct,,c,C
zero-shot,CR,1,Medium,0.97,Correct,,b,B
zero-shot,CR,2,Medium,0.83,Correct,,d,D
zero-shot,CR,4,Medium,0.59,Correct,,a,A
zero-shot,CR,5,Medium,0.65,Correct,,c,C
zero-shot,CR,6,Difficult,0.7,Correct,,b,B
zero-shot,CR,7,Challenging,0.62,Correct,,b,B
zero-shot,CR,10,Medium,0.45,Correct,,a,A
zero-shot,CR,11,Challenging,0.56,Correct,,c,C
zero-shot,CR,13,Challenging,0.69,Correct,,c,C
zero-shot,CR,15,Medium,0.7,Correct,,a,A
zero-shot,CR,16,Medium,0.5,Correct,,b,B
zero-shot,CR,18,Medium,0.75,Correct,,b,B
zero-shot,CR,18,Medium,0.41,Correct,,a,A
zero-shot,CR,20,Medium,0.7,Correct,,c,C
zero-shot,CR,21,Medium,0.57,Correct,,d,D
zero-shot,CR,22,Medium,0.78,Correct,,e,E
zero-shot,CR,24,Medium,0.49,Correct,,d,D
zero-shot,CR,25,Medium,0.52,Correct,,a,A
zero-shot,CR,27,Medium,0.59,Correct,,b,B
zero-shot,CR,28,Medium,0.73,Correct,,a,A
zero-shot,CR,28,Medium,0.53,Correct,,d,D
zero-shot,CR,29,Medium,0.45,Correct,,c,C
zero-shot,CR,34,Medium,0.77,Correct,,c,C
zero-shot,CR,35,Medium,0.55,Correct,,c,C
zero-shot,CR,36,Medium,1.15,Correct,,b,B
zero-shot,CR,37,Medium,0.65,Correct,,d,D
zero-shot,CR,38,Medium,0.53,Correct,,c,C
zero-shot,CR,39,Medium,0.69,Correct,,b,B
zero-shot,CR,41,Medium,0.67,Correct,,b,B
