Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,42.53,Correct,,b,B
zero-shot,RC_Result,4,Medium,50.23,Correct,,a,A
zero-shot,RC_Result,5,Medium,0.09,Correct,,c,C
zero-shot,RC_Result,10,Medium,4.42,Correct,,a,A
zero-shot,RC_Result,11,Challenging,0.13,Correct,,c,C
zero-shot,RC_Result,13,Challenging,5.97,Correct,,c,C
zero-shot,RC_Result,15,Medium,21.78,Correct,,a,A
zero-shot,RC_Result,16,Medium,5.98,Correct,,b,B
zero-shot,RC_Result,17,Medium,1.31,Correct,,c,C
zero-shot,RC_Result,18,Medium,6.07,Correct,,a,A
zero-shot,RC_Result,20,Medium,40.84,Correct,,c,C
zero-shot,RC_Result,22,Medium,6.39,Correct,,e,E
zero-shot,RC_Result,29,Medium,0.08,Correct,,c,C
zero-shot,RC_Result,31,Medium,0.15,Correct,,c,C
zero-shot,RC_Result,34,Medium,6.04,Correct,,c,C
zero-shot,RC_Result,35,Medium,1.45,Correct,,c,C
zero-shot,RC_Result,37,Medium,3.59,Correct,,d,D
zero-shot,RC_Result,38,Medium,0.1,Correct,,c,C
zero-shot,RC_Result,40,Medium,2.92,Correct,,c,C
zero-shot,RC_Result,41,Medium,4.46,Correct,,b,B
zero-shot,RC_Result,43,Medium,33.43,Correct,,c,C
zero-shot,RC_Result,45,Medium,0.91,Correct,,c,C
zero-shot,RC_Result,48,Medium,48.53,Correct,,c,C
zero-shot,CR,1,Medium,24.26,Correct,,b,B
zero-shot,CR,2,Medium,23.21,Correct,,d,D
zero-shot,CR,4,Medium,3.8,Correct,,a,A
zero-shot,CR,5,Medium,1.61,Correct,,c,C
zero-shot,CR,6,Difficult,1.05,Correct,,b,B
zero-shot,CR,7,Challenging,5.98,Correct,,b,B
zero-shot,CR,9,Medium,1.77,Correct,,a,A
zero-shot,CR,10,Medium,42.02,Correct,,a,A
zero-shot,CR,11,Challenging,2.53,Correct,,c,C
zero-shot,CR,13,Challenging,48.18,Correct,,c,C
zero-shot,CR,15,Medium,4.48,Correct,,a,A
zero-shot,CR,16,Medium,2.28,Correct,,b,B
zero-shot,CR,17,Medium,30.73,Correct,,c,C
zero-shot,CR,18,Medium,1.43,Correct,,a,A
zero-shot,CR,20,Medium,52.55,Correct,,c,C
zero-shot,CR,21,Medium,42.64,Correct,,d,D
zero-shot,CR,22,Medium,77.98,Correct,,e,E
zero-shot,CR,24,Medium,2.03,Correct,,d,D
zero-shot,CR,25,Medium,21.47,Correct,,a,A
zero-shot,CR,27,Medium,85.3,Correct,,b,B
zero-shot,CR,28,Medium,3.92,Correct,,a,A
zero-shot,CR,28,Medium,21.05,Correct,,d,D
zero-shot,CR,29,Medium,44.23,Correct,,c,C
zero-shot,CR,31,Medium,2.75,Correct,,c,C
zero-shot,CR,31,Medium,3.1,Correct,,b,B
zero-shot,CR,32,Medium,3.05,Correct,,e,E
zero-shot,CR,34,Medium,1.52,Correct,,c,C
zero-shot,CR,35,Medium,5.91,Correct,,c,C
zero-shot,CR,36,Medium,12.21,Correct,,b,B
zero-shot,CR,37,Medium,1.99,Correct,,d,D
zero-shot,CR,38,Medium,1.73,Correct,,c,C
zero-shot,CR,41,Medium,2.19,Correct,,b,B
zero-shot,CR,43,Medium,3.74,Correct,,c,C
zero-shot,CR,45,Medium,41.07,Correct,,c,C
zero-shot,CR,47,Medium,5.96,Correct,,b,B
zero-shot,CR,48,Medium,9.87,Correct,,c,C
zero-shot,RC_Result,2,Medium,1.09,Incorrect,,d,C
zero-shot,RC_Result,3,Medium,4.83,Incorrect,,c,A
zero-shot,RC_Result,6,Difficult,0.08,Incorrect,,b,C
zero-shot,RC_Result,7,Challenging,0.9,Incorrect,,b,C
zero-shot,RC_Result,8,Challenging,39.81,Incorrect,,c,B
zero-shot,RC_Result,9,Medium,1.55,Incorrect,,a,C
