Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,reading_comp,N/A,Hard,0.77,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.66,Correct,,A,A
zero-shot,reading_comp,N/A,Hard,0.67,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.72,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.73,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.71,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.72,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.77,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,3.74,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.62,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.58,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.73,Correct,,B,B
zero-shot,reading_comp,N/A,Hard,0.97,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.93,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.7,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.67,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.76,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.82,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.74,Correct,,C,C
zero-shot,reading_comp,N/A,Easy,0.79,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.92,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.84,Correct,,D,D
zero-shot,reading_comp,N/A,Easy,0.88,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.78,Correct,,B,B
zero-shot,reading_comp,N/A,Easy,0.63,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,1.06,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.75,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.81,Correct,,A,A
zero-shot,reading_comp,N/A,Easy,0.8,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.51,Correct,,D,D
zero-shot,reading_comp,N/A,Hard,0.56,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.63,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.7,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.72,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.74,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.97,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.78,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.72,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,1.08,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.5,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.77,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.71,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.66,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,3.72,Correct,,B,B
zero-shot,reading_comp,N/A,Medium,0.59,Correct,,C,C
zero-shot,reading_comp,N/A,Medium,0.65,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.77,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.51,Correct,,D,D
zero-shot,reading_comp,N/A,Medium,0.62,Correct,,A,A
zero-shot,reading_comp,N/A,Medium,0.87,Correct,,C,C
