Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,0.42,Correct,,b,B
zero-shot,RC_Result,2,Medium,0.48,Correct,,d,D
zero-shot,RC_Result,3,Medium,0.26,Correct,,c,C
zero-shot,RC_Result,5,Medium,0.25,Correct,,c,C
zero-shot,RC_Result,6,Difficult,0.25,Correct,,b,B
zero-shot,RC_Result,7,Challenging,0.25,Correct,,b,B
zero-shot,RC_Result,8,Challenging,0.26,Correct,,c,C
zero-shot,RC_Result,11,Challenging,0.27,Correct,,c,C
zero-shot,RC_Result,13,Challenging,0.26,Correct,,c,C
zero-shot,RC_Result,15,Medium,0.26,Correct,,a,A
zero-shot,RC_Result,16,Medium,0.27,Correct,,b,B
zero-shot,RC_Result,18,Medium,0.27,Correct,,a,A
zero-shot,RC_Result,20,Medium,0.28,Correct,,c,C
zero-shot,RC_Result,21,Medium,0.26,Correct,,d,D
zero-shot,RC_Result,22,Medium,0.25,Correct,,e,E
zero-shot,RC_Result,24,Medium,0.28,Correct,,d,D
zero-shot,RC_Result,27,Medium,0.27,Correct,,b,B
zero-shot,RC_Result,28,Medium,0.25,Correct,,a,A
zero-shot,RC_Result,29,Medium,0.25,Correct,,c,C
zero-shot,RC_Result,31,Medium,0.52,Correct,,c,C
zero-shot,RC_Result,34,Medium,0.25,Correct,,c,C
zero-shot,RC_Result,38,Medium,0.25,Correct,,c,C
zero-shot,RC_Result,40,Medium,0.27,Correct,,c,C
zero-shot,RC_Result,41,Medium,0.25,Correct,,b,B
zero-shot,RC_Result,43,Medium,0.26,Correct,,c,C
zero-shot,RC_Result,45,Medium,0.25,Correct,,c,C
zero-shot,RC_Result,47,Medium,0.27,Correct,,b,B
zero-shot,RC_Result,48,Medium,0.25,Correct,,c,C
zero-shot,CR,1,Medium,0.37,Correct,,b,B
zero-shot,CR,2,Medium,0.28,Correct,,d,D
zero-shot,CR,3,Medium,0.28,Correct,,c,C
zero-shot,CR,5,Medium,0.28,Correct,,c,C
zero-shot,CR,6,Difficult,0.25,Correct,,b,B
zero-shot,CR,7,Challenging,0.27,Correct,,b,B
zero-shot,CR,8,Challenging,0.27,Correct,,c,C
zero-shot,CR,10,Medium,0.27,Correct,,a,A
zero-shot,CR,11,Challenging,0.26,Correct,,c,C
zero-shot,CR,13,Challenging,0.29,Correct,,c,C
zero-shot,CR,15,Medium,0.28,Correct,,a,A
zero-shot,CR,16,Medium,0.26,Correct,,b,B
zero-shot,CR,18,Medium,0.26,Correct,,a,A
zero-shot,CR,20,Medium,0.28,Correct,,c,C
zero-shot,CR,21,Medium,0.29,Correct,,d,D
zero-shot,CR,22,Medium,0.32,Correct,,e,E
zero-shot,CR,24,Medium,0.27,Correct,,d,D
zero-shot,CR,27,Medium,0.25,Correct,,b,B
zero-shot,CR,28,Medium,0.27,Correct,,a,A
zero-shot,CR,29,Medium,0.27,Correct,,c,C
zero-shot,CR,31,Medium,0.26,Correct,,c,C
zero-shot,CR,34,Medium,0.26,Correct,,c,C
zero-shot,CR,35,Medium,0.32,Correct,,c,C
