Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,6.5,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,11.83,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,12.0,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,11.98,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,12.25,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,12.2,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,18.03,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,11.92,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,2.27,Correct,,D,D
zero-shot,toefl_listening,N/A,N/A,6.22,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.8,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.12,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.05,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,11.86,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.41,Correct,,C,C
zero-shot,toefl_listening,N/A,N/A,6.22,Correct,,C,C
zero-shot,toefl_listening,N/A,N/A,12.16,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,11.76,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,6.17,Incorrect,,B,D
zero-shot,toefl_listening,N/A,N/A,5.97,Incorrect,,A,D
zero-shot,toefl_listening,N/A,N/A,6.1,Incorrect,,C,D
zero-shot,toefl_listening,N/A,N/A,5.76,Incorrect,,B D,D
zero-shot,toefl_listening,N/A,N/A,5.9,Incorrect,,A,C
zero-shot,toefl_listening,N/A,N/A,6.12,Incorrect,,B,C
zero-shot,toefl_listening,N/A,N/A,5.97,Incorrect,,A,C
five-shot,toefl_listening,N/A,N/A,5.65,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.98,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.99,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.17,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.86,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.07,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.96,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.05,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.84,Correct,,D,D
five-shot,toefl_listening,N/A,N/A,6.04,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,9.89,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.95,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.02,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.05,Correct,,C,C
five-shot,toefl_listening,N/A,N/A,5.98,Correct,,C,C
five-shot,toefl_listening,N/A,N/A,6.01,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,6.06,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,6.0,Incorrect,,B,D
five-shot,toefl_listening,N/A,N/A,5.99,Incorrect,,A,D
five-shot,toefl_listening,N/A,N/A,6.17,Incorrect,,C,D
five-shot,toefl_listening,N/A,N/A,5.96,Incorrect,,B D,D
five-shot,toefl_listening,N/A,N/A,2.14,Incorrect,,B,A
five-shot,toefl_listening,N/A,N/A,5.94,Incorrect,,A,C
five-shot,toefl_listening,N/A,N/A,6.0,Incorrect,,B,C
five-shot,toefl_listening,N/A,N/A,6.17,Incorrect,,A,C
chain-of-thought,toefl_listening,N/A,N/A,7.82,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.04,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,11.02,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.01,Correct,,D,D
chain-of-thought,toefl_listening,N/A,N/A,7.45,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.27,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,12.13,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,14.43,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.1,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.02,Incorrect,,C,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,5.22,Incorrect,,B,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,6.94,Incorrect,,B,"D, D"
chain-of-thought,toefl_listening,N/A,N/A,0.59,Incorrect,,B,
chain-of-thought,toefl_listening,N/A,N/A,10.21,Incorrect,,B,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,3.42,Incorrect,,C,"D, D"
chain-of-thought,toefl_listening,N/A,N/A,7.39,Incorrect,,B,"A, C"
chain-of-thought,toefl_listening,N/A,N/A,5.68,Incorrect,,B,D
chain-of-thought,toefl_listening,N/A,N/A,7.61,Incorrect,,A,D
chain-of-thought,toefl_listening,N/A,N/A,5.41,Incorrect,,C,"D, D"
chain-of-thought,toefl_listening,N/A,N/A,5.38,Incorrect,,B D,D
chain-of-thought,toefl_listening,N/A,N/A,5.83,Incorrect,,C,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,6.52,Incorrect,,A,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,11.62,Incorrect,,B,C
chain-of-thought,toefl_listening,N/A,N/A,4.25,Incorrect,,A,C
chain-of-thought,toefl_listening,N/A,N/A,6.12,Incorrect,,C,"A, C"
