Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,6.4,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.03,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.88,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.07,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.02,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.08,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.86,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.87,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.12,Correct,,A,A
zero-shot,toefl_listening,N/A,N/A,1.17,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.03,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.02,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.08,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.02,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.01,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.08,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.03,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.2,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,1.04,Incorrect,,A,B
zero-shot,toefl_listening,N/A,N/A,1.79,Incorrect,,B,A
zero-shot,toefl_listening,N/A,N/A,2.73,Incorrect,,C,A
zero-shot,toefl_listening,N/A,N/A,1.29,Incorrect,,"B, C",A
zero-shot,toefl_listening,N/A,N/A,0.85,Incorrect,,D,A
zero-shot,toefl_listening,N/A,N/A,1.01,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,1.04,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.95,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.17,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.02,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.85,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.1,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.91,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.93,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.8,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.13,Correct,,A,A
five-shot,toefl_listening,N/A,N/A,0.82,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.67,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.1,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.94,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.2,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.84,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.18,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.87,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.93,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,1.06,Incorrect,,A,B
five-shot,toefl_listening,N/A,N/A,1.01,Incorrect,,B,A
five-shot,toefl_listening,N/A,N/A,1.15,Incorrect,,C,A
five-shot,toefl_listening,N/A,N/A,0.94,Incorrect,,"B, C",A
five-shot,toefl_listening,N/A,N/A,0.93,Incorrect,,D,A
five-shot,toefl_listening,N/A,N/A,0.96,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,1.14,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,6.75,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.24,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.93,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.02,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.23,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.91,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.21,Correct,,A,A
chain-of-thought,toefl_listening,N/A,N/A,8.25,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,10.18,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.52,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.99,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.7,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.48,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.48,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,9.13,Incorrect,,C,"D, C"
chain-of-thought,toefl_listening,N/A,N/A,14.51,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,5.6,Incorrect,,A,B
chain-of-thought,toefl_listening,N/A,N/A,8.29,Incorrect,,B,A
chain-of-thought,toefl_listening,N/A,N/A,7.0,Incorrect,,C,A
chain-of-thought,toefl_listening,N/A,N/A,9.96,Incorrect,,"B, C",A
chain-of-thought,toefl_listening,N/A,N/A,10.27,Incorrect,,D,A
chain-of-thought,toefl_listening,N/A,N/A,12.33,Incorrect,,C,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,6.33,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,8.2,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,9.57,Incorrect,,B,"D, A"
