Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,RC_Result,1,Medium,2.63,Correct,,b,B
zero-shot,RC_Result,2,Medium,50.05,Correct,,d,D
zero-shot,RC_Result,4,Medium,2.34,Correct,,a,A
zero-shot,RC_Result,5,Medium,6.32,Correct,,c,C
zero-shot,RC_Result,6,Difficult,5.55,Correct,,b,B
zero-shot,RC_Result,7,Challenging,12.11,Correct,,b,B
zero-shot,RC_Result,10,Medium,11.99,Correct,,a,A
zero-shot,RC_Result,11,Challenging,2.43,Correct,,c,C
zero-shot,RC_Result,13,Challenging,6.0,Correct,,c,C
zero-shot,RC_Result,15,Medium,12.07,Correct,,a,A
zero-shot,RC_Result,16,Medium,53.91,Correct,,b,B
zero-shot,RC_Result,18,Medium,8.53,Correct,,b,B
zero-shot,RC_Result,18,Medium,57.92,Correct,,a,A
zero-shot,RC_Result,20,Medium,2.62,Correct,,c,C
zero-shot,RC_Result,21,Medium,6.21,Correct,,d,D
zero-shot,RC_Result,22,Medium,5.82,Correct,,e,E
zero-shot,RC_Result,24,Medium,5.94,Correct,,d,D
zero-shot,RC_Result,25,Medium,6.09,Correct,,a,A
zero-shot,RC_Result,27,Medium,5.91,Correct,,b,B
zero-shot,RC_Result,28,Medium,6.07,Correct,,a,A
zero-shot,RC_Result,28,Medium,11.91,Correct,,d,D
zero-shot,RC_Result,29,Medium,12.0,Correct,,c,C
zero-shot,RC_Result,34,Medium,6.64,Correct,,c,C
zero-shot,RC_Result,35,Medium,5.38,Correct,,c,C
zero-shot,RC_Result,36,Medium,6.33,Correct,,b,B
zero-shot,RC_Result,37,Medium,5.6,Correct,,d,D
zero-shot,RC_Result,38,Medium,5.99,Correct,,c,C
zero-shot,RC_Result,41,Medium,4.99,Correct,,b,B
zero-shot,RC_Result,43,Medium,7.05,Correct,,c,C
zero-shot,RC_Result,45,Medium,2.18,Correct,,c,C
zero-shot,RC_Result,47,Medium,6.02,Correct,,b,B
zero-shot,RC_Result,48,Medium,6.01,Correct,,c,C
zero-shot,CR,1,Medium,13.31,Correct,,b,B
zero-shot,CR,2,Medium,11.44,Correct,,d,D
zero-shot,CR,4,Medium,4.22,Correct,,a,A
zero-shot,CR,5,Medium,5.82,Correct,,c,C
zero-shot,CR,6,Difficult,5.79,Correct,,b,B
zero-shot,CR,7,Challenging,6.06,Correct,,b,B
zero-shot,CR,10,Medium,11.15,Correct,,a,A
zero-shot,CR,11,Challenging,30.24,Correct,,c,C
zero-shot,CR,13,Challenging,6.49,Correct,,c,C
zero-shot,CR,15,Medium,5.89,Correct,,a,A
zero-shot,CR,16,Medium,23.48,Correct,,b,B
zero-shot,CR,18,Medium,29.91,Correct,,b,B
zero-shot,CR,18,Medium,18.01,Correct,,a,A
zero-shot,CR,20,Medium,17.93,Correct,,c,C
zero-shot,CR,21,Medium,18.01,Correct,,d,D
zero-shot,CR,22,Medium,18.3,Correct,,e,E
zero-shot,CR,24,Medium,24.12,Correct,,d,D
zero-shot,CR,25,Medium,23.83,Correct,,a,A
zero-shot,CR,27,Medium,11.94,Correct,,b,B
zero-shot,CR,28,Medium,11.98,Correct,,a,A
zero-shot,CR,28,Medium,18.03,Correct,,d,D
zero-shot,CR,29,Medium,18.05,Correct,,c,C
zero-shot,CR,31,Medium,15.87,Correct,,c,C
zero-shot,CR,34,Medium,9.64,Correct,,c,C
zero-shot,CR,35,Medium,11.88,Correct,,c,C
zero-shot,CR,36,Medium,14.46,Correct,,b,B
zero-shot,CR,37,Medium,9.68,Correct,,d,D
