Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,8.98,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,32.6,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,18.02,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,3.83,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,26.78,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,22.17,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,22.61,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.17,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.84,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.04,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,2.72,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,21.97,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,23.46,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,21.72,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,23.59,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.48,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.22,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.73,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,3.13,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.07,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.01,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.96,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0,Incorrect,,B,
zero-shot,toefl_listening,N/A,N/A,0,Incorrect,,B,
zero-shot,toefl_listening,N/A,N/A,26.71,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,5.93,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.11,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.0,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,23.87,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,23.53,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.04,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,23.3,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.81,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,20.16,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,21.83,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,23.59,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,25.11,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.89,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.01,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.14,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.06,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,22.63,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.24,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,23.74,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.29,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.68,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.84,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.2,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.83,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.81,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,9.17,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,27.92,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,30.33,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,30.66,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,28.77,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.07,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,27.59,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.98,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.77,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.48,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.62,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.97,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.35,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.49,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.86,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.57,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.32,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.62,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.91,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.0,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,29.5,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.0,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.58,Incorrect,,B,"B, A"
chain-of-thought,toefl_listening,N/A,N/A,29.67,Incorrect,,B,"C, C"
chain-of-thought,toefl_listening,N/A,N/A,29.58,Incorrect,,C,B
