Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,toefl_listening,N/A,N/A,4.07,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.71,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,4.48,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,2.59,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.89,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.04,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,6.11,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.82,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.99,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.69,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,2.55,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.88,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,5.89,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.43,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.65,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,3.39,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.82,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,2.59,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.45,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.86,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,1.58,Correct,,B,B
zero-shot,toefl_listening,N/A,N/A,0.6,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,1.52,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.78,Incorrect,,C,B
zero-shot,toefl_listening,N/A,N/A,0.94,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,0.55,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.72,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,3.07,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.53,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.49,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.57,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,4.44,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.95,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.02,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.67,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.7,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.25,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.55,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,6.13,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.58,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.73,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,1.87,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.7,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,5.12,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.49,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,2.57,Correct,,B,B
five-shot,toefl_listening,N/A,N/A,0.83,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,6.17,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,6.16,Incorrect,,C,B
five-shot,toefl_listening,N/A,N/A,5.83,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,4.45,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.5,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.84,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,4.51,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.92,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.46,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.14,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.48,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,7.07,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,11.18,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.18,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,5.66,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,8.89,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,6.82,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,4.8,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,9.01,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,10.25,Correct,,B,B
chain-of-thought,toefl_listening,N/A,N/A,4.73,Incorrect,,B,"B, C"
chain-of-thought,toefl_listening,N/A,N/A,5.45,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,11.01,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,8.29,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,5.0,Incorrect,,B,"D, A"
chain-of-thought,toefl_listening,N/A,N/A,3.18,Incorrect,,C,A
chain-of-thought,toefl_listening,N/A,N/A,12.58,Incorrect,,C,B
chain-of-thought,toefl_listening,N/A,N/A,2.72,Incorrect,,C,B
